# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
4.889100000000000000e+04 5.641279722146830267e-01 5.617944974983677184e+02 6.580907343415107746e+00 6.609086358705624775e+00 5.281482908014268896e-01 7.920183840499797157e+01 7.522340463601670990e+01 nan 5.641740909697217532e+00 1.882098201532995896e+00 1.918025420845050012e-04
4.889200000000000000e+04 5.641373933506144134e-01 5.617945009377107226e+02 6.580907360638824422e+00 6.609086346916990706e+00 5.281482884493972074e-01 7.920183849859853353e+01 7.522340474225421758e+01 nan 5.641740954319672596e+00 1.882098225285983473e+00 1.918025420639401526e-04
4.889300000000000000e+04 5.641468144865139367e-01 5.617945043713884843e+02 6.580907377886450860e+00 6.609086335156197478e+00 5.281482860977302352e-01 7.920183859161215878e+01 7.522340484790191795e+01 nan 5.641740998830243825e+00 1.882098249012398750e+00 1.918025420434242556e-04
4.889400000000000000e+04 5.641562356223818187e-01 5.617945077996369037e+02 6.580907395157949757e+00 6.609086323423068343e+00 5.281482837464258617e-01 7.920183868411186268e+01 7.522340495317256170e+01 nan 5.641741043315015247e+00 1.882098272747157353e+00 1.918025420229267902e-04
4.889500000000000000e+04 5.641656567582180593e-01 5.617945112223389970e+02 6.580907412453150584e+00 6.609086311717440765e+00 5.281482813954841982e-01 7.920183877605943223e+01 7.522340505783081710e+01 nan 5.641741087737770499e+00 1.882098296498955659e+00 1.918025420024613086e-04
4.889600000000000000e+04 5.641750778940227695e-01 5.617945146392860352e+02 6.580907429772024031e+00 6.609086300039130890e+00 5.281482790449054665e-01 7.920183886743646440e+01 7.522340516193521864e+01 nan 5.641741132083344823e+00 1.882098320235143563e+00 1.918025419820284345e-04
4.889700000000000000e+04 5.641844990297959495e-01 5.617945180507367695e+02 6.580907447114370257e+00 6.609086288387972630e+00 5.281482766946883345e-01 7.920183895827904053e+01 7.522340526558352281e+01 nan 5.641741176414090120e+00 1.882098343973475529e+00 1.918025419616197652e-04
4.889800000000000000e+04 5.641939201655377101e-01 5.617945214563919762e+02 6.580907464480059588e+00 6.609086276763790124e+00 5.281482743448344674e-01 7.920183904853747947e+01 7.522340536864361127e+01 nan 5.641741220645914545e+00 1.882098367683131546e+00 1.918025419412513468e-04
4.889900000000000000e+04 5.642033413012481624e-01 5.617945248563958103e+02 6.580907481869084918e+00 6.609086265166411067e+00 5.281482719953427551e-01 7.920183913824517674e+01 7.522340547122821874e+01 nan 5.641741264831003910e+00 1.882098391418562278e+00 1.918025419209088680e-04
4.890000000000000000e+04 5.642127624369273065e-01 5.617945282506605054e+02 6.580907499281265061e+00 6.609086253595659599e+00 5.281482696462130866e-01 7.920183922737899707e+01 7.522340557316140064e+01 nan 5.641741308961366386e+00 1.882098415162043459e+00 1.918025419005999995e-04
4.890100000000000000e+04 5.642412792859190507e-01 -2.833011152820893486e+01 1.000569143645264836e+00 1.000082476648584517e+00 5.000000120887603261e-01 1.150685365786294412e+01 4.205922485903271557e+00 0.000000000000000000e+00 -2.869381252402420923e-01 1.842228368709722730e+00 1.960110251975067644e-04
4.890200000000000000e+04 5.642697961349107949e-01 -2.910304580510858585e+01 1.001713324784179404e+00 1.000251673363863558e+00 5.000001971456869976e-01 1.166423568951662126e+01 4.362029356090677545e+00 0.000000000000000000e+00 -2.942466562930616258e-01 1.840197892063166529e+00 1.959879159129884437e-04
4.890300000000000000e+04 5.642983129839025391e-01 -2.978349307461461137e+01 1.002874530048831536e+00 1.000426446248315004e+00 5.000004268047617551e-01 1.181859007367854808e+01 4.480721866541278686e+00 0.000000000000000000e+00 -3.006286725943533855e-01 1.838526448652861633e+00 1.959666312448068602e-04
4.890400000000000000e+04 5.643268298328942834e-01 -3.037404847185115031e+01 1.004056035943097669e+00 1.000605586349875287e+00 5.000006847533221555e-01 1.195660527294989706e+01 4.577762485372908863e+00 0.000000000000000000e+00 -3.062845299894757511e-01 1.837250946180172706e+00 1.959480786341887481e-04
4.890500000000000000e+04 5.643553466818860276e-01 -3.091290602217057781e+01 1.005257366217020554e+00 1.000788546117348687e+00 5.000009720717573103e-01 1.208522699735125805e+01 4.662438139200562937e+00 0.000000000000000000e+00 -3.115361404060527084e-01 1.836169973119685217e+00 1.959310892756216903e-04
4.890600000000000000e+04 5.643838635308777718e-01 -3.142488257704960475e+01 1.006479066412678813e+00 1.000975113883138867e+00 5.000012891768280676e-01 1.220901475006372472e+01 4.740372817930623484e+00 0.000000000000000000e+00 -3.165888522177520703e-01 1.835180999053304340e+00 1.959149705278537702e-04
4.890700000000000000e+04 5.644123803798695160e-01 -3.192536556842141948e+01 1.007721509090698575e+00 1.001165219057799094e+00 5.000016365437658372e-01 1.233080314932000121e+01 4.814969964774340028e+00 0.000000000000000000e+00 -3.215694896874151665e-01 1.834219860818786518e+00 1.958992851588294134e-04
4.890800000000000000e+04 5.644408972288612603e-01 -3.242382411740220505e+01 1.008984752753838476e+00 1.001358832010289301e+00 5.000020146569715829e-01 1.245233538574857413e+01 4.888290823933486351e+00 0.000000000000000000e+00 -3.265562397204136991e-01 1.833242022369975022e+00 1.958837664586328842e-04
4.890900000000000000e+04 5.644694140778530045e-01 -3.292612696617261037e+01 1.010268784066236769e+00 1.001555954999729936e+00 5.000024240026863520e-01 1.257469014783029237e+01 4.961591198270607350e+00 0.000000000000000000e+00 -3.315978721376714455e-01 1.832214262040925634e+00 1.958682504430779537e-04
4.891000000000000000e+04 5.644979309268447487e-01 -3.343597799851925600e+01 1.011573591421735197e+00 1.001756611960111121e+00 5.000028650688093101e-01 1.269854655813603017e+01 5.035646079322432023e+00 0.000000000000000000e+00 -3.367255407259154287e-01 1.831110009572770370e+00 1.958526348795465531e-04
