X,Min,Average,Max
0,1841.397152,3069.691939,3972.96466
0.008513778,1824.464582,3070.096065,3972.697287
0.017027555,1823.5458,3070.4535,3971.458146
0.025541333,1824.944756,3070.807249,3970.998543
0.034055111,1827.552481,3071.201671,3971.532503
0.042568889,1831.206094,3071.689428,3972.185975
0.051082666,1840.548676,3072.276037,3971.990649
0.059596444,1850.065392,3072.951935,3971.993138
0.068110222,1864.519166,3073.879035,3972.528556
0.076624,1877.783869,3075.070192,3973.798238
0.085137777,1890.251547,3076.447891,3975.990649
0.093651555,1889.307125,3077.679712,3976.188464
0.102165333,1879.029124,3078.884627,3975.264278
0.110679111,1868.823415,3080.0789,3975.727828
0.119192888,1859.741166,3081.50001,3974.905484
0.127706666,1846.406052,3083.303631,3972.188464
0.136220444,1830.4931,3085.17219,3971.994596
0.144734222,1818.848979,3086.942016,3973.460636
0.153247999,1811.640355,3088.61206,3977.713074
0.161761777,1805.815522,3090.546311,3977.535418
0.170275555,1796.733879,3092.491911,3979.53396
0.178789333,1785.533574,3094.555289,3981.264278
0.18730311,1777.066077,3096.683258,3982.53645
0.195816888,1770.322036,3098.960438,3982.913378
0.204330666,1764.307707,3101.169499,3980.531045
0.212844444,1758.044886,3103.473077,3982.257842
0.221358221,1751.596516,3105.759702,3983
0.229871999,1747.415945,3108.133964,3982.190953
0.238385777,1745.680223,3110.444096,3982.528556
0.246899555,1744.679191,3112.633687,3983.722424
0.255413332,1743.968426,3114.686456,3984.267193
0.26392711,1742.112225,3116.903716,3987.53396
0.272440888,1735.112225,3119.196518,3988.996053
0.280954666,1728.381907,3121.264643,3989.809047
0.289468443,1723.190953,3123.258537,3992.537907
0.297982221,1723.402364,3124.841421,3995.348411
0.306495999,1728.830859,3126.189087,3999.534992
0.315009777,1725.652596,3127.584276,4002.532503
0.323523554,1724.945959,3129.004536,4004.530013
0.332037332,1724.671904,3130.362552,4006.265735
0.34055111,1722.576963,3131.840316,4007.539364
0.349064887,1718.363968,3133.57794,4009.269682
0.357578665,1717.151217,3135.54171,4010.539364
0.366092443,1718.980422,3137.608998,4012.809047
0.374606221,1722.722581,3139.632195,4015.809047
0.383119998,1724.917906,3141.639303,4024.784941
0.391633776,1724.664436,3143.549745,4031.996053
0.400147554,1724.491153,3145.468056,4031.992107
0.408661332,1726.780994,3147.353862,4032.795749
0.417175109,1731.129586,3149.355447,4036.611231
0.425688887,1739.102384,3151.496571,4040.720967
0.434202665,1747.117139,3153.651263,4039.727828
0.442716443,1756.743126,3155.761868,4039.809047
0.45123022,1769.119203,3157.84771,4044.152518
0.459743998,1776.298742,3159.86805,4042.266161
0.468257776,1781.849946,3161.844125,4045.426147
0.476771554,1788.851404,3163.725246,4042.376928
0.485285331,1795.588583,3165.658259,4039.715563
0.493799109,1802.131469,3167.464094,4039.539364
0.502312887,1809.307667,3169.255773,4040.190953
0.510826665,1814.570913,3170.956128,4040.724347
0.519340442,1819.771643,3172.538743,4047.520237
0.52785422,1823.861786,3174.037657,4050.445455
0.536367998,1831.386396,3175.305663,4048.43653
0.544881776,1840.37413,3176.53112,4045.642664
0.553395553,1848.556158,3177.855366,4042.64661
0.561909331,1854.566967,3179.419806,4040.156039
0.570423109,1861.118597,3180.90404,4035.00939
0.578936887,1869.397204,3182.309139,4028.638898
0.587450664,1878.66045,3183.694278,4024.998543
0.595964442,1888.664397,3185.057094,4024.188464
0.60447822,1898.12649,3186.20934,4022.444423
0.612991998,1907.210623,3187.219209,4019.100385
0.621505775,1918.941973,3188.074237,4015.449827
0.630019553,1929.3918,3188.890066,4013.452742
0.638533331,1938.382449,3189.579718,4011.165816
0.647047109,1946.836223,3190.079161,4007.915867
0.655560886,1953.825415,3190.51931,4003.644728
0.664074664,1961.084289,3190.810849,3998.906091
0.672588442,1969.351907,3191.029454,3994.354886
0.68110222,1978.367694,3191.411881,3989.16539
0.689615997,1987.366237,3191.783488,3985.90257
0.698129775,1995.280647,3192.032247,3980.567882
0.706643553,2000.005986,3192.174619,3973.644728
0.71515733,2004.015337,3192.474913,3969.178688
0.723671108,2007.481376,3192.818564,3965.639749
0.732184886,2010.02323,3193.235054,3961.172252
0.740698664,2014.29188,3193.795378,3957.104331
0.749212441,2020.104448,3194.052014,3951.459178
0.757726219,2027.016794,3194.189637,3948.106821
0.766239997,2031.291455,3194.0774,3946.442359
0.774753775,2035.47743,3193.949605,3945.16539
0.783267552,2038.02323,3193.666321,3941.094981
0.79178133,2042.020741,3193.236066,3934.912952
0.800295108,2046.297284,3192.781715,3930.638292
0.808808886,2052.108395,3192.275885,3926.216982
0.817322663,2059.013879,3191.597482,3920.02706
0.825836441,2063.012422,3190.847491,3919.427179
0.834350219,2065.665894,3190.263308,3916.906942
0.842863997,2065.760409,3189.86137,3913.694978
0.851377774,2068.773526,3189.536607,3911.334302
0.859891552,2071.269682,3189.144651,3907.72886
0.86840533,2073.078729,3188.60926,3906.727403
0.876919108,2076.269682,3187.951131,3905.17723
0.885432885,2077,3187.285385,3902.441934
0.893946663,2079.95193,3186.713541,3900.989192
0.902460441,2088.753548,3186.223675,3906.598966
0.910974219,2091.214609,3185.560883,3911.516716
0.919487996,2092.768728,3184.851221,3914.070835
0.928001774,2096.853893,3184.074854,3918.32139
0.936515552,2104.119628,3183.19836,3922.780568
0.94502933,2111.583179,3182.182049,3924.70518
0.953543107,2118.398661,3181.017035,3927.341975
0.962056885,2127.127947,3179.726146,3934.050676
0.970570663,2134.866159,3178.29703,3938.880488
0.979084441,2141.593562,3176.786709,3946.666886
0.987598218,2147.317443,3175.223447,3955.043815
0.996111996,2152.589615,3173.6291,3958.789313
1.004625774,2158.317443,3171.912327,3962.344039
1.013139552,2162.780568,3170.061245,3965.176199
1.021653329,2165.240172,3168.054648,3963.525641
1.030167107,2166.248066,3166.010792,3964.439019
1.038680885,2168.055655,3164.257623,3965.265735
1.047194662,2171.780568,3162.652946,3966.809047
1.05570844,2174.776622,3161.133381,3971.605827
1.064222218,2178.582753,3159.631901,3976.520237
1.072735996,2185.920356,3158.141818,3977.704755
1.081249773,2193.973972,3156.587127,3976.457721
1.089763551,2199.213152,3154.967429,3974.175773
1.098277329,2201.030092,3153.161648,3970.351972
1.106791107,2205.031549,3151.123066,3964.080226
1.115304884,2209.570488,3149.239997,3959.829671
1.123818662,2215.013454,3147.348351,3955.696436
1.13233244,2218.732357,3145.286038,3954.424264
1.140846218,2222.282104,3143.035747,3952.428211
1.149359995,2225.934119,3140.885694,3949.626451
1.157873773,2225.409509,3138.812842,3944.917325
1.166387551,2223.14772,3136.812779,3941.418009
1.174901329,2220.685627,3134.625551,3937.643877
1.183415106,2219.680223,3132.447666,3933.423232
1.191928884,2219.214184,3130.215976,3930.63726
1.200442662,2220.207322,3127.902919,3925.013763
1.20895644,2220.931204,3125.681175,3920.106615
1.217470217,2221.207747,3123.253121,3916.111193
1.225983995,2221.677734,3120.511399,3916.160412
1.234497773,2220.949905,3117.524208,3912.91192
1.243011551,2221.214184,3114.588499,3909.187007
1.251525328,2221.67233,3111.689353,3905.921271
1.260039106,2220.676277,3108.766692,3901.381907
1.268552884,2219.677734,3105.705257,3895.651589
1.277066662,2218.949905,3102.621457,3890.921271
1.285580439,2218.408052,3099.593386,3886.651589
1.294094217,2216.413456,3096.860136,3881.381907
1.302607995,2214.958224,3094.181909,3877.180145
1.311121773,2216.037985,3091.334059,3872.824447
1.31963555,2219.760409,3088.268208,3866.240172
1.328149328,2221.955735,3085.127043,3866.978384
1.336663106,2221.969033,3082.060202,3865.901112
1.345176884,2223.050251,3078.871163,3867.807589
1.353690661,2226.50694,3075.5495,3871.264278
1.362204439,2228.237257,3072.070026,3872.265735
1.370718217,2229.240172,3068.688354,3873.539364
1.379231995,2230.519205,3065.432552,3875.806132
1.387745772,2233.600423,3062.306709,3880.073325
1.39625955,2239.320965,3059.290629,3883.262821
1.404773328,2243.765814,3056.434857,3884.527099
1.413287105,2247.035496,3053.489503,3885.985245
1.421800883,2250.767271,3050.554317,3885.990649
1.430314661,2254.043815,3047.736604,3886.537907
1.438828439,2257.780568,3045.022761,3888.264278
1.447342216,2260.785366,3042.179798,3889.532503
1.455855994,2264.348411,3039.267391,3891.804068
1.464369772,2269.618093,3036.64926,3894.917325
1.47288355,2275.618093,3034.13388,3892.697893
1.481397327,2281.348411,3031.482122,3893.269682
1.489911105,2279.689418,3028.702634,3894.806132
1.498424883,2274.956185,3025.925195,3897.996053
1.506938661,2273.097005,3023.077692,3898.258874
1.515452438,2275.305628,3019.985663,3898.71951
1.523966216,2276.010383,3016.887585,3897.998543
1.532479994,2266.132384,3013.69191,3897.993138
1.540993772,2260.202794,3010.424225,3896.099959
1.549507549,2257.190953,3007.250446,3888.827788
1.558021327,2253.19739,3004.008396,3883.102874
1.566535105,2249.219432,3000.604609,3881.452742
1.575048883,2247.030967,2997.25118,3879.72886
1.58356266,2247.296703,2993.808653,3877.376503
1.592076438,2246.012266,2990.374759,3871.378992
1.600590216,2239.391258,2986.842753,3869.708276
1.609103994,2233.655536,2983.368808,3865.467962
1.617617771,2228.381907,2979.933134,3859.895708
1.626131549,2221.842543,2976.426081,3855.89674
1.634645327,2213.957217,2972.816554,3851.38045
1.643159105,2208.736754,2969.014274,3849.460636
1.651672882,2194.064463,2965.248331,3846.381907
1.66018666,2184.137788,2961.396334,3839.033496
1.668700438,2177.402066,2957.514761,3829.917931
1.677214216,2172.204251,2953.744267,3825.630398
1.685727993,2168.140703,2949.888921,3820.911495
